Species Latin Name,Species Index,Species Common Name,Order,N,Female,Number of Tissue Types,Mean of Age,SD of Age,Minimum of Age,Maximum of Age,Gestation (yrs),Averaged Sexual Maturity (yrs),Maximum Lifespan (yrs),Weight (gram),Marsupial species,Tissue type
Pongo pygmaeus,1.1.4,Orangutan,Primates,1,100%,1,43.69,,43.69,43.69,0.682,7,59,64475,no,Blood
Procavia capensis,19.1.1,Rock hyrax,Hyracoidea,1,0%,1,14.64,,14.64,14.64,0.589,1.37,14.8,3600,no,Blood
Propithecus coquereli,1.2.3,Coquerel's sifaka,Primates,4,25%,2,13.26,11.67,0.1,28.52,0.386,3.81,30.59,4189.27,no,Blood;Skin
Propithecus diadema,1.2.1,Diademed sifaka,Primates,3,0%,2,16.4,2.23,14.19,18.65,0.43,2.88,21,5550,no,Blood;Skin
Propithecus tattersalli,1.2.2,Golden-crowned sifaka,Primates,3,0%,1,15.41,11.07,3.52,25.43,0.404,4.5,26,3545,no,Blood
Pteropus giganteus,8.5.3,Indian fruit bat,Chiroptera,4,0%,1,12.97,1.43,10.9,14.2,0.397,1,40,1175,no,Skin
Pteropus hypomelanus,8.5.4,Variable flying fox,Chiroptera,40,70%,1,9.52,6.55,0.4,19.3,0.534,1,26.5,450,no,Skin
Pteropus poliocephalus,8.5.5,Grey-headed flying fox,Chiroptera,16,62%,1,11.24,3.67,6.1,16.7,0.521,1.48,23.6,675,no,Skin
Pteropus pumilus,8.5.6,Little golden-mantled flying fox,Chiroptera,46,52%,1,9.59,4.95,0.8,17.3,0.329,0.75,17.3,200,no,Skin
Pteropus rodricensis,8.5.7,Rodriguez flying fox,Chiroptera,19,63%,1,14.96,4.77,4,20.9,0.542,1.5,28,350,no,Skin
Pteropus vampyrus,8.5.8,Large flying fox,Chiroptera,51,53%,1,9.84,5.95,0.6,22.4,0.455,2,24,872,no,Skin
Puma concolor,5.2.6,Florida panther,Carnivora,1,0%,1,0.21,,0.21,0.21,0.252,2.5,23.8,63000,no,Blood
Rattus norvegicus,9.9.3,Brown rat,Rodentia,553,72%,15,1.1,0.81,-0.06,2.3,0.058,0.22,3.8,300,no,Adipose;Blood;Brain;Cerebellum;Heart;Hippocampus;Hypothalamus;iPSC;Liver;Muscle;Neocortex;Ovaries;Pituitary;Skin;Substantia nigra
Rhinoceros unicornis,6.2.3,Greater one horned rhino,Perissodactyla,4,75%,1,6.35,4.47,2.73,12.68,1.312,5.8,43.5,1602330,no,Blood
Rhinolophus ferrumequinum,8.6.1,Greater horseshoe bat,Chiroptera,40,100%,1,9.16,6.32,0,21.1,0.219,2,30.5,22.875,no,Skin
Rhynchonycteris naso,8.17.2,Proboscis bat,Chiroptera,22,27%,1,1.93,1.48,0.1,6,0.405,1.5,8.5,3.9,no,Skin
Rousettus aegyptiacus,8.5.9,Egyptian fruit bat,Chiroptera,16,50%,1,9.14,2.32,5,14,0.318,1,22.9,125,no,Skin
Saccopteryx bilineata,8.17.1,Greater sac-winged bat,Chiroptera,29,69%,1,2.53,2.03,0.2,8.3,0.351,1,11,7.9,no,Skin
Sarcophilus harrisii,18.1.1,Tasmanian devil,Dasyuromorphia,41,56%,1,3.43,2.58,0.5,8,0.071,2,13,8202.25,yes,Ear
Sorex cinereus,12.3.10,Cinereus shrew,Eulipotyphla,47,43%,3,0.61,0.41,-0.04,1.33,0.052,0.42,1.9,4.3,no,Fetus;Liver;Tail
Spalax galili,9.14.1,Blind mole rat,Rodentia,1,100%,1,1.5,,1.5,1.5,0.093,1.67,15,125,no,Skin
Steno bredanensis,4.13.10,Rough-toothed dolphin,Artiodactyla,12,67%,2,13.55,6.76,4.64,23.89,1.03,10,32,114000,no,Blood;Skin
Sus scrofa domesticus,4.7.1,Pig,Artiodactyla,188,77%,10,1.76,1.71,-0.3,6.26,0.315,0.46,23,350000,no,Bladder;Blood;ES;Fetus;Fibroblast;FrontalCortex;iPSC;Kidney;Liver;Lung
Sus scrofa minusculus,4.7.2,Winsconsin miniature pig,Artiodactyla,60,100%,1,1,1.2,0.02,5.15,0.315,0.46,23,100000,no,Blood
Sylvilagus floridanus,3.1.2,Eastern cotton rabbit,Lagomorpha,1,100%,1,0.06,,0.06,0.06,0.082,0.34,9.8,1150,no,Skin
Tachyglossus aculeatus,21.2.1,Short-beaked echidna,Monotremata,11,55%,4,4.81,6.4,0.12,20.56,0.092,1.5,49.5,3500,no,Blood;Brain;Kidney;Liver
Tadarida brasiliensis,8.8.3,Mexican free-tailed bat,Chiroptera,19,47%,1,2.09,2.28,0.2,6.2,0.214,1.12,12,12.5,no,Skin
Taurotragus oryx,4.1.18,Eland,Artiodactyla,1,0%,1,2.14,,2.14,2.14,0.751,1.59,26.1,500000,no,Blood
Tragelaphus angasii,4.1.19,Nyala,Artiodactyla,5,60%,1,7.05,3.21,2.15,10.94,0.614,1.24,18.5,120000,no,Blood
Tragelaphus eurycerus,4.1.20,Bongo,Artiodactyla,5,60%,1,4.01,6.18,0.01,14.39,0.789,2.36,21.9,307500,no,Blood
Tragelaphus imberbis,4.1.21,Lesser kudu,Artiodactyla,7,57%,1,6.34,5.48,0.01,11.47,0.644,1.38,19.8,82500,no,Blood
Tragelaphus spekii,4.1.22,Sitatunga,Artiodactyla,3,100%,1,6.58,0.42,6.25,7.05,0.663,1.1,22.6,87500,no,Blood
Tragelaphus strepsiceros,4.1.23,Greater kudu,Artiodactyla,9,78%,1,8.53,5.84,0.26,14,0.625,1.42,23.5,217500,no,Blood
Trichechus manatus,14.1.1,West Indian manatee,Sirenia,10,50%,2,8.23,13.69,1.2,34.15,0.918,3,69,467324.83,no,Blood;Skin
